,Date,Latitude,Longitude,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet
312,1927-01-16,21.0283,105.8542,70.5999984741211,6.400000095367432,0,1.899999976158142,5.300000190734863,14.80000019073486,18.0,21.20000076293945,16.70000076293945,4.730000018993056
313,1927-02-15,21.0283,105.8542,79.70000457763672,5.0,0,1.899999976158142,42.40000152587891,14.80000019073486,17.30000114440918,19.80000114440918,17.0,15.03999996199074
314,1927-03-16,21.0283,105.8542,81.0999984741211,5.200000286102295,0,2.299999952316284,30.5,17.30000114440918,19.89999961853027,22.5,20.20000076293945,13.18999958
315,1927-04-16,21.0283,105.8542,75.5,6.0,0,2.900000095367432,63.60000228881836,20.70000076293945,23.70000076293945,26.70000076293945,25.89999961853027,11.47999954199074
316,1927-05-16,21.0283,105.8542,73.70000457763672,6.099999904632568,0,3.5,226.6000061035156,25.20000076293945,28.20000076293945,31.30000114440918,32.5,16.40999984699074
317,1927-06-16,21.0283,105.8542,77.4000015258789,6.5,0,3.600000143051147,293.3000183105469,27.10000038146973,30.30000114440918,33.60000228881836,35.5,16.88999939
318,1927-07-16,21.0283,105.8542,67.5,7.700000286102295,0,4.099999904632568,331.2000122070312,26.70000076293945,30.5,34.40000152587891,34.79999923706055,18.930000305
319,1927-08-16,21.0283,105.8542,71.30000305175781,7.5,0,3.700000047683716,305.5,26.30000114440918,30.0,33.79999923706055,34.40000152587891,17.86999893199074
320,1927-09-16,21.0283,105.8542,70.70000457763672,5.800000190734863,0,3.200000047683716,328.8000183105469,25.30000114440918,28.20000076293945,31.10000038146973,31.60000038146973,16.38999939
321,1927-10-16,21.0283,105.8542,73.30000305175781,5.5,0,2.700000047683716,140.6999969482422,23.10000038146973,25.80000114440918,28.60000038146973,27.30000114440918,12.069999695
322,1927-11-16,21.0283,105.8542,68.80000305175781,6.300000190734863,0,2.299999952316284,38.0,19.80000114440918,22.89999961853027,26.10000038146973,22.70000076293945,6.309999942997685
323,1927-12-16,21.0283,105.8542,66.5999984741211,6.800000190734863,0,2.100000143051147,5.599999904632568,17.39999961853027,20.80000114440918,24.20000076293945,19.10000038146973,3.210000037997685
324,1928-01-16,21.0283,105.8542,74.70000457763672,5.700000286102295,0,1.899999976158142,16.89999961853027,16.30000114440918,19.10000038146973,22.0,17.89999961853027,9.23999977099537
325,1928-02-15,21.0283,105.8542,80.0,5.0,0,2.0,56.29999923706055,15.0,17.5,20.0,16.39999961853027,17.15999984699074
326,1928-03-16,21.0283,105.8542,81.0999984741211,5.200000286102295,0,2.5,14.10000038146973,19.30000114440918,21.89999961853027,24.5,22.20000076293945,8.25
327,1928-04-16,21.0283,105.8542,78.0,5.5,0,3.100000143051147,48.20000076293945,22.89999961853027,25.60000038146973,28.39999961853027,27.39999961853027,9.149999618993055
328,1928-05-16,21.0283,105.8542,75.20000457763672,5.700000286102295,0,3.600000143051147,274.8999938964844,25.89999961853027,28.70000076293945,31.60000038146973,32.60000228881836,17.87999916099537
329,1928-06-16,21.0283,105.8542,72.9000015258789,7.099999904632568,0,3.700000047683716,183.6000061035156,25.70000076293945,29.20000076293945,32.79999923706055,33.20000076293945,13.79999923699074
330,1928-07-16,21.0283,105.8542,67.4000015258789,7.300000190734863,0,4.0,251.1999969482422,26.89999961853027,30.5,34.20000076293945,35.10000228881836,16.69999885599537
331,1928-08-16,21.0283,105.8542,71.20000457763672,6.599999904632568,0,3.600000143051147,446.1000061035156,26.30000114440918,29.60000038146973,32.90000152587891,34.40000152587891,20.93999862699074
332,1928-09-16,21.0283,105.8542,65.0,6.5,0,3.5,116.2000045776367,25.89999961853027,29.10000038146973,32.40000152587891,33.40000152587891,10.46999931299768
333,1928-10-16,21.0283,105.8542,66.30000305175781,6.400000095367432,0,2.700000047683716,79.70000457763672,21.20000076293945,24.39999961853027,27.60000038146973,25.30000114440918,9.029999732997686
